record_date,transaction_type,transaction_today_amt
2024-08-02,Withdrawals,43167
2024-08-05,Deposits,28007
2024-08-05,Withdrawals,17864
2024-08-06,Deposits,249460
2024-08-06,Withdrawals,238837
2024-08-07,Deposits,19492
2024-08-07,Withdrawals,14073
2024-08-08,Deposits,286509
2024-08-08,Withdrawals,279448
2024-08-09,Deposits,12100
2024-08-09,Withdrawals,16036
2024-08-12,Deposits,28313
2024-08-12,Withdrawals,16634
2024-08-13,Deposits,255888
2024-08-13,Withdrawals,243308
2024-08-14,Deposits,18337
2024-08-14,Withdrawals,42129
2024-08-15,Deposits,395174
2024-08-15,Withdrawals,458094
2024-08-16,Deposits,26828
2024-08-16,Withdrawals,21802
2024-08-19,Deposits,31269
2024-08-19,Withdrawals,19172
2024-08-20,Deposits,257393
2024-08-20,Withdrawals,241443
2024-08-21,Deposits,18675
2024-08-21,Withdrawals,42927
2024-08-22,Deposits,244848
2024-08-22,Withdrawals,244840
2024-08-23,Deposits,13338
2024-08-23,Withdrawals,13838
2024-08-26,Deposits,27116
2024-08-26,Withdrawals,21132
2024-08-27,Deposits,293026
2024-08-27,Withdrawals,247015
2024-08-28,Deposits,16750
2024-08-28,Withdrawals,45900
2024-08-29,Deposits,241530
2024-08-29,Withdrawals,244131
2024-08-30,Deposits,57244
2024-08-30,Withdrawals,102215
2024-09-03,Deposits,499264
2024-09-03,Withdrawals,434637
2024-09-04,Deposits,13832
2024-09-04,Withdrawals,16918
2024-09-05,Deposits,276268
2024-09-05,Withdrawals,278197
2024-09-06,Deposits,14178
2024-09-06,Withdrawals,23463
2024-09-09,Deposits,28011
2024-09-09,Withdrawals,16445
2024-09-10,Deposits,242199
2024-09-10,Withdrawals,267511
2024-09-11,Deposits,25880
2024-09-11,Withdrawals,46405
2024-09-12,Deposits,230379
2024-09-12,Withdrawals,267598
2024-09-13,Deposits,57231
2024-09-13,Withdrawals,31658
2024-09-16,Deposits,249124
2024-09-16,Withdrawals,87952
2024-09-17,Deposits,242850
2024-09-17,Withdrawals,264235
2024-09-18,Deposits,30776
2024-09-18,Withdrawals,45093
2024-09-19,Deposits,221387
2024-09-19,Withdrawals,235534
2024-09-20,Deposits,18213
2024-09-20,Withdrawals,38725
2024-09-23,Deposits,37016
2024-09-23,Withdrawals,17432
2024-09-24,Deposits,243490
2024-09-24,Withdrawals,263122
2024-09-25,Deposits,25628
2024-09-25,Withdrawals,51413
2024-09-26,Deposits,218243
2024-09-26,Withdrawals,250456
2024-09-27,Deposits,47583
2024-09-27,Withdrawals,21581
2024-09-30,Deposits,265951
2024-09-30,Withdrawals,152932
2024-10-01,Deposits,271175
2024-10-01,Withdrawals,342908
2024-10-02,Deposits,21945
2024-10-02,Withdrawals,12526
2024-10-03,Deposits,288494
2024-10-03,Withdrawals,315960
2024-10-04,Deposits,15871
2024-10-04,Withdrawals,11573
2024-10-07,Deposits,26299
2024-10-07,Withdrawals,16032
2024-10-08,Deposits,263895
2024-10-08,Withdrawals,254217
2024-10-09,Deposits,17123
2024-10-09,Withdrawals,49925
2024-10-10,Deposits,249358
2024-10-10,Withdrawals,253405
2024-10-11,Deposits,18107
2024-10-11,Withdrawals,21750
2024-10-15,Deposits,422369
2024-10-15,Withdrawals,376415
2024-10-16,Deposits,32913
2024-10-16,Withdrawals,43813
2024-10-17,Deposits,261108
2024-10-17,Withdrawals,247016
2024-10-18,Deposits,15353
2024-10-18,Withdrawals,16398
2024-10-21,Deposits,28632
2024-10-21,Withdrawals,14832
2024-10-22,Deposits,261344
2024-10-22,Withdrawals,264249
2024-10-23,Deposits,25831
2024-10-23,Withdrawals,47113
2024-10-24,Deposits,250704
2024-10-24,Withdrawals,233979
2024-10-25,Deposits,14752
2024-10-25,Withdrawals,21411
2024-10-28,Deposits,31476
2024-10-28,Withdrawals,23065
2024-10-29,Deposits,263000
2024-10-29,Withdrawals,251834
2024-10-30,Deposits,20071
2024-10-30,Withdrawals,19995
2024-10-31,Deposits,571152
2024-10-31,Withdrawals,497247
2024-11-01,Deposits,33530
2024-11-01,Withdrawals,135342
2024-11-04,Deposits,34142
2024-11-04,Withdrawals,16773
2024-11-05,Deposits,262882
2024-11-05,Withdrawals,260684
2024-11-06,Deposits,19213
2024-11-06,Withdrawals,17781
2024-11-07,Deposits,251516
2024-11-07,Withdrawals,251775
2024-11-08,Deposits,14616
2024-11-08,Withdrawals,23301
2024-11-12,Deposits,283027
2024-11-12,Withdrawals,262936
2024-11-13,Deposits,12879
2024-11-13,Withdrawals,55393
2024-11-14,Deposits,265297
2024-11-14,Withdrawals,258460
2024-11-15,Deposits,173367
2024-11-15,Withdrawals,258156
2024-11-18,Deposits,39546
2024-11-18,Withdrawals,16327
2024-11-19,Deposits,266971
2024-11-19,Withdrawals,258390
2024-11-20,Deposits,18924
2024-11-20,Withdrawals,43808
2024-11-21,Deposits,301986
2024-11-21,Withdrawals,260123
2024-11-22,Deposits,13745
2024-11-22,Withdrawals,34771
2024-11-25,Deposits,37014
2024-11-25,Withdrawals,18564
2024-11-26,Deposits,301730
2024-11-26,Withdrawals,267597
2024-11-27,Deposits,21167
2024-11-27,Withdrawals,49707
2024-11-29,Deposits,357270
2024-11-29,Withdrawals,383092
2024-12-02,Deposits,256351
2024-12-02,Withdrawals,170450
2024-12-03,Deposits,264693
2024-12-03,Withdrawals,291997
2024-12-04,Deposits,19024
2024-12-04,Withdrawals,19492
2024-12-05,Deposits,236415
2024-12-05,Withdrawals,252770
2024-12-06,Deposits,14787
2024-12-06,Withdrawals,24677
2024-12-09,Deposits,31081
2024-12-09,Withdrawals,18946
2024-12-10,Deposits,243219
2024-12-10,Withdrawals,295805
2024-12-11,Deposits,20663
2024-12-11,Withdrawals,57619
2024-12-12,Deposits,241716
2024-12-12,Withdrawals,249395
2024-12-13,Deposits,40871
2024-12-13,Withdrawals,19224
2024-12-16,Deposits,220522
2024-12-16,Withdrawals,84632
2024-12-17,Deposits,238314
2024-12-17,Withdrawals,268846
2024-12-18,Deposits,21684
2024-12-18,Withdrawals,48391
2024-12-19,Deposits,230715
2024-12-19,Withdrawals,246707
2024-12-20,Deposits,19956
2024-12-20,Withdrawals,40445
2024-12-23,Deposits,47154
2024-12-23,Withdrawals,21779
2024-12-24,Deposits,236414
2024-12-24,Withdrawals,294244
2024-12-26,Deposits,287160
2024-12-26,Withdrawals,333507
2024-12-27,Deposits,51473
2024-12-27,Withdrawals,19772
2024-12-30,Deposits,44053
2024-12-30,Withdrawals,19032
2024-12-31,Deposits,456282
2024-12-31,Withdrawals,479822
